author,time,post_body
Coffee_addict22,"August 15, 2019 1:16AM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/44168737"">Fuzzipeg</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44049238#Comment_44049238"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">Tempted to ask how tall you are? I wonder if you've had yourself checked out to ensure there is nothing going on, pregnancy can disrupt things for some though you have not said you are gaining necessarily, could be covered by cycles and things clouding the picture by increasing the appearance of your weight. Try not to stress about things, it is essential you take care of yourself to keep from slipping back in to your old ways. I agree with the above poster, if you can set your activity level to, loose 1 lb a week, possibly half, and also put yourself into at least lightly active, with a little one wising about you have to be more than sedentary, as ggc is at my feet, giggle. Doing so will give you sufficient help you feel better in yourself and reduce the risk of over doing foods. I agree weigh what you can, things your prepare for yourself. Eating out can be an issue, try looking up food values for the place you are using, most have online information these days, may be use their approximation for the meal you will be having and then work backwards from there going lighter for breakfast and lunch or snacks how ever your work your days. Elephant counting going on now...……… in 10 seconds something more will be happening.</div>
</blockquote>
<br>
5’4”. I had my hormones checked 2 years ago after I had my son. They were fine. It took me over a year to get to prepregnancy weight of 140ish. I just can’t get under that. Most of the extra weight is in my hips and thighs. </div>"
LAT1963,"August 15, 2019 1:22AM","<div class=""Message"">
Suggest seeing a doc. As another former anorexic said, you are at risk for heart failure (this is what killed famous anorexic Karen Carpenter). One early symptom of heart failure--water retention and weight gain. </div>"
Coffee_addict22,"August 15, 2019 1:39AM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1008704851"">Emmapatterson1729</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44049256#Comment_44049256"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">Why are you only eating 1200 calories when active?<br>
<br>
That's still dangerously low.<br>
<br>
And ideal weight goes mostly by height, which you didn't mention. If eating too low of calories, weight's not the main concern.<br>
<br>
I'm a recovered anorexic. I'm 5'8"" and had heart failure at 25 years old weighing 134. No precursors or warnings, just started gaining weight, gained 102 lbs pretty much over night in water weight, because the heart had slowed. (Less than two months, felt like it was over night)<br>
<br>
I suggest check with a doctor about your calorie intake, activity level, and your weight gain.<br>
<br>
And do any dieting under a doctor's supervision.<br>
</div>
</blockquote>
<br>
If it’s accepted by the standards how is it too low? I’m not starving myself. I’m 5’4.<br>
<br>
I was severely underweight (115 if not under that) so I know a lot of it was to do with me starving myself for so long. I was a teenager. And I didn’t know better. I didn’t know I had an eating disorder until I was out of it. </div>"
Coffee_addict22,"August 15, 2019 1:42AM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/68941122"">LAT1963</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052699#Comment_44052699"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">Suggest seeing a doc. As another former anorexic said, you are at risk for heart failure (this is what killed famous anorexic Karen Carpenter). One early symptom of heart failure--water retention and weight gain.</div>
</blockquote>
<br>
It’s been 5 years since I’ve had an eating disorder. I’m not severely overweight. I’m just not happy where I’m at. I would like to be a little more comfortable with myself. </div>"
Hannahwalksfar,"August 15, 2019 2:25AM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052680#Comment_44052680"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1008721552"">Hannahwalksfar</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44049195#Comment_44049195"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">Firstly, are you weighing your food? Secondly are you doing a lot of exercise that could account for fluid retention? Secondly are you near your cycle?</div>
</blockquote>
<br>
<br>
I am!! The only thing I don’t weigh is fruits and veggies other than potatoes. I do a lot of walking and running but it’s hot where I live still. I’m not sure. I just had a miscarriage 3 weeks ago.</div>
</blockquote>
<br>
I’m so sorry to hear that. I think you need to let your body settle from the hormone fluctuations related to this. Maybe just relax and eat at maintenance for a while while everything settles down to reassess. </div>"
Hannahwalksfar,"August 15, 2019 2:27AM","<div class=""Message"">
I’m 5’4” and my goal is 145lb, I’m currently around 155-160lb. Maybe instead of looking at loss you can look at muscle gains? Changing composition, </div>"
fitoverfortymom,"August 15, 2019 2:57AM","<div class=""Message"">
 I would definitely work with a medical professional and an ED treatment team regarding what is a healthy and safe calorie intake for you. </div>"
Emmapatterson1729,"August 15, 2019 3:19AM","<div class=""Message"">
No!!! 1200 is standard for a very short (under 5') female who's bedridden to lose weight. NOT standard for a 5'4"" ACTIVE female.<br>
<br>
Denial is a major part of several psychological disorders.<br>
<br>
I, too, was extremely underweight through teen years. Doctors were always telling me I needed to put on weight (along with family and friends).<br>
<br>
As a young adult, I kept my weight between 130-140 for 7 years. Got pregnant, weight went up to 145, miscarriaged, tried to lose weight from pregnancy, was down to 134 lbs size 9/10.<br>
<br>
Sounds like a healthy weight and size, right?<br>
<br>
I was never hungry, didn't feel like I was starving....Because as someone who'd suffered with an eating disorder... It damaged normal signals... Like hunger, and hormones, metabolism, adrenal issues...<br>
<br>
Now, after 20 years of continuously developing a healthy relationship with food.<br>
<br>
I eat around 1500-1650 to lose, try to NEVER dip below 1300.<br>
<br>
If I exercise, it's 30-45 minutes of light exercising, 3-4 days a week.<br>
<br>
My goal weight, at 5'8"", I try to get to, then maintain is now 165-175...I Know I look fit and healthy here and feel fit.<br>
<br>
When my heart failed, I went to the doctor after putting on just a few lbs while still exercising and dieting... Was told, I was finally just putting on weight, nothing to worry about.... Going back into doctors at 236 lbs a month and a half later, hearing the words ""morbidly obese"" and ""congestive heart failure"" was crushing!!<br>
<br>
I wish someone would have told me this was even a possibility, didn't have internet back then, anorexia was rarely diagnosed back then. It's not worth the risk to drop another inch or two or another 5-10 lbs.<br>
<br>
If your heart fails, and you gain 75-200 lbs of water weight, with stretched deformed loose skin hanging everywhere (arms, thighs, stomach, breast), you'll wish you could have a waist that measures 38"".... much less, hips.<br>
<br>
<br>
<br>
 </div>"
kimny72,"August 15, 2019 3:35AM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052757#Comment_44052757"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1008704851"">Emmapatterson1729</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44049256#Comment_44049256"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">Why are you only eating 1200 calories when active?<br>
<br>
That's still dangerously low.<br>
<br>
And ideal weight goes mostly by height, which you didn't mention. If eating too low of calories, weight's not the main concern.<br>
<br>
I'm a recovered anorexic. I'm 5'8"" and had heart failure at 25 years old weighing 134. No precursors or warnings, just started gaining weight, gained 102 lbs pretty much over night in water weight, because the heart had slowed. (Less than two months, felt like it was over night)<br>
<br>
I suggest check with a doctor about your calorie intake, activity level, and your weight gain.<br>
<br>
And do any dieting under a doctor's supervision.<br>
</div>
</blockquote>
<br>
If it’s accepted by the standards how is it too low? I’m not starving myself. I’m 5’4.<br>
<br>
I was severely underweight (115 if not under that) so I know a lot of it was to do with me starving myself for so long. I was a teenager. And I didn’t know better. I didn’t know I had an eating disorder until I was out of it.</div>
</blockquote>
<br>
I'm 5'4 and barely lightly active. I started at 145 lbs and never ate below 1500 cals to get down to 125, but it did take a lot of time.<br>
<br>
If you had a miscarriage just 3 weeks ago, your body is still recovering, which will include water weight fluctuations. You need to give your mind and body a second to heal. Eat maintenance for at least a couple of weeks. Then set yourself to lose 0.5lbs per week and lightly active and eat all those calories. Considering your history, I would think that losing slowly is best. If you feel that you have lasting physical effects from the time you were underweight, you should discuss that with your doctor.<br>
<br>
Do check out the Recomp thread linked in Sugar's post, even if you want to continue losing weight, it gives a great perspective on strength training and body aesthetics.<br>
<br>
I'm sorry for your loss and that you're struggling right now. Please take care of yourself <img class=""emoji"" src=""https://community.myfitnesspal.com/en/resources/emoji/smile.png"" title="":smile:"" alt="":smile:"" height=""20""> </div>"
BarbaraHelen2013,"August 15, 2019 7:28AM","<div class=""Message"">
I’m noticing that you’ve mentioned a couple of times that you don’t track any fruits or vegetables other than potatoes. In order to get a more accurate picture of where you are it might be a plan to start tracking them for a while and see where your intake actually is. If you’re aiming at 1200 but not tracking fruit and veg it’s possible you’re eating closer to the 1500 mark anyway.<br>
<br>
How much difference this might make depends on how much fruit, which fruit, how many vegetables and what veg you’re eating, obviously. Fruit, in particular, can be more calorific than your instinct might tell you.<br>
<br>
In light of your history I’m not going to comment on the level you need to be eating at, others have already done so, anyway. I’m just wondering if getting more accurate numbers to work on you can find your way through your situation. </div>"
sugaraddict4321,"August 15, 2019 8:45AM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052680#Comment_44052680"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1008721552"">Hannahwalksfar</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44049195#Comment_44049195"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">Firstly, are you weighing your food? Secondly are you doing a lot of exercise that could account for fluid retention? Secondly are you near your cycle?</div>
</blockquote>
<br>
I am!! The only thing I don’t weigh is fruits and veggies other than potatoes. I do a lot of walking and running but it’s hot where I live still. I’m not sure. I just had a miscarriage 3 weeks ago.</div>
</blockquote>
<br>
I'm really sorry to hear about your miscarriage. <img class=""emoji"" src=""https://community.myfitnesspal.com/en/resources/emoji/frowning.png"" title="":("" alt="":("" height=""20""> Please focus on getting help dealing with the physical and mental stuff that goes with such a traumatic event. Your perception of your body is going to be different right now, because it's been going through changes related to pregnancy. It will take time for your body to shift back to some state of ""normal"". As a recovering anorexic, your idea of normal may not be the actual norm for a person of your height/weight/age.<br>
<br>
You mention that you want hips smaller than 39"", and that once they were 34"". You also mention you've had a son. A hip measurement of 34"" may not be physically possible for you any more. It's quite common for the pelvic area to expand during pregnancy - you're growing a human being after all - and the inner frame doesn't always contract back to where it was. It doesn't mean you're fat or you gained too much weight. Your actual frame may have changed. You can't control that, so you have to learn to change your perception of yourself and set realistic expectations of what you can do.<br>
<br>
Sending you virtual hugs. Take care. <span class=""legacysmiles legacysmileflowerforyou""><span>:flowerforyou:</span></span><br>
<br>
</div>"
jayemes,"August 15, 2019 10:47AM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052757#Comment_44052757"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText""><br>
<b>I was severely underweight (115 if not under that</b>) so I know a lot of it was to do with me starving myself for so long. I was a teenager. And I didn’t know better. I didn’t know I had an eating disorder until I was out of it.</div>
</blockquote>
<br>
It's worrisome that you say 115 was severely under weight for you and yet you're trying to get to 125. That seems like it may not actually be a healthy weight for you.<br>
</div>"
etherealanwar,"August 15, 2019 1:19PM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1006534335"">jayemes</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44053979#Comment_44053979"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052757#Comment_44052757"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText""><br>
<b>I was severely underweight (115 if not under that</b>) so I know a lot of it was to do with me starving myself for so long. I was a teenager. And I didn’t know better. I didn’t know I had an eating disorder until I was out of it.</div>
</blockquote>
<br>
It's worrisome that you say 115 was severely under weight for you and yet you're trying to get to 125. That seems like it may not actually be a healthy weight for you.</div>
</blockquote>
<br>
I thought she said she is 5'4"" in which case 115 pounds is not ""severely underweight"". It is a bmi of 19.7. </div>"
Fuzzipeg,"August 15, 2019 1:23PM","<div class=""Message"">
I'm deeply sorry you suffered a miscarriage recently. Its something which leaves such a large hole which is hard to fill. I came across some interesting listening from a UK programme. There was nothing you could have done differently to have prevented it. I hope you feel well enough to invite the little one again one day. Dieting too hard when you are recovering is not going to help, it will probably hinder your recuperation. I agree with those who say to return to maintenance for a while, I'm sure your family will support you. They want you well and achieving in other ways for now.<br>
<br>
I wonder if you had started gaining because of your intended second pregnancy and the weight was a natural consequence of having started a little person, I know even at three months a little one in itself weighs little but the surrounding changes do carry weight implications more for some than others. So yes, you were/are a little heavier now, possibly until your hormones, which can take a year to settled back, naturally resolves from this very, very sad situation.<br>
<br>
The one thing which sticks in my mind when I had my daughter so many years ago, was My hips were never the same again, I'd become a woman not the young girl I'd been. Its a very sad fact that, a first pregnancy changes the way our body was called on to work and hip widening can be a consequence of carrying.<br>
<br>
Please take extra special care of yourself. Wishing you All the Very Best for your future. </div>"
Mexicangreensalsa,"August 15, 2019 5:08PM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1006534335"">jayemes</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44053979#Comment_44053979"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052757#Comment_44052757"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText""><br>
<b>I was severely underweight (115 if not under that</b>) so I know a lot of it was to do with me starving myself for so long. I was a teenager. And I didn’t know better. I didn’t know I had an eating disorder until I was out of it.</div>
</blockquote>
<br>
It's worrisome that you say 115 was severely under weight for you and yet you're trying to get to 125. That seems like it may not actually be a healthy weight for you.</div>
</blockquote>
<br>
115 is not severly underweight for 5'4, that is healthy? I thought you said you are 5'4? </div>"
Mexicangreensalsa,"August 15, 2019 5:11PM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052757#Comment_44052757"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1008704851"">Emmapatterson1729</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44049256#Comment_44049256"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">Why are you only eating 1200 calories when active?<br>
<br>
That's still dangerously low.<br>
<br>
And ideal weight goes mostly by height, which you didn't mention. If eating too low of calories, weight's not the main concern.<br>
<br>
I'm a recovered anorexic. I'm 5'8"" and had heart failure at 25 years old weighing 134. No precursors or warnings, just started gaining weight, gained 102 lbs pretty much over night in water weight, because the heart had slowed. (Less than two months, felt like it was over night)<br>
<br>
I suggest check with a doctor about your calorie intake, activity level, and your weight gain.<br>
<br>
And do any dieting under a doctor's supervision.<br>
</div>
</blockquote>
<br>
If it’s accepted by the standards how is it too low? I’m not starving myself. I’m 5’4.<br>
<br>
I was severely underweight (115 if not under that) so I know a lot of it was to do with me starving myself for so long. I was a teenager. And I didn’t know better. I didn’t know I had an eating disorder until I was out of it.</div>
</blockquote>
<br>
If you were 115 you were not anorexic. You have to have a BMI below 17 to be diagnosed. I wouldn't worry since you were not that underweight unless you have a treatment team that says you have reason to worry. Being 115 at 5'4 for a few years is completely healthy so the only damage would have came from undereating which anyone can have. </div>"
jayemes,"August 15, 2019 5:19PM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007059176"">etherealanwar</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44054482#Comment_44054482"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1006534335"">jayemes</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44053979#Comment_44053979"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44052757#Comment_44052757"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText""><br>
<b>I was severely underweight (115 if not under that</b>) so I know a lot of it was to do with me starving myself for so long. I was a teenager. And I didn’t know better. I didn’t know I had an eating disorder until I was out of it.</div>
</blockquote>
<br>
It's worrisome that you say 115 was severely under weight for you and yet you're trying to get to 125. That seems like it may not actually be a healthy weight for you.</div>
</blockquote>
<br>
I thought she said she is 5'4"" in which case 115 pounds is not ""severely underweight"". It is a bmi of 19.7.</div>
</blockquote>
<br>
""I"" didn't say she was severely underweight, she did. I figured maybe she typed her height wrong. </div>"
tracybear86,"August 15, 2019 5:36PM","<div class=""Message"">
<br>
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007361691"">Mexicangreensalsa</a> wrote: <a rel=""nofollow"" href=""/en/discussion/comment/44055570#Comment_44055570"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">If you were 115 you were not anorexic. You have to have a BMI below 17 to be diagnosed. I wouldn't worry since you were not that underweight unless you have a treatment team that says you have reason to worry. Being 115 at 5'4 for a few years is completely healthy so the only damage would have came from undereating which anyone can have.</div>
</blockquote>
<br>
She could have been diagnosed with Atypical Anorexia. It is dangerous to assume that just because someone does not look sick, they are fine.<br>
DSM-V definition of Atypical anorexia nervosa: an eating disorder wherein “all of the criteria for AN are met, except that despite significant weight loss, the individual’s weight is within or above the normal range.” </div>"
wmweeza,"August 15, 2019 7:15PM","<div class=""Message"">
<blockquote class=""Quote UserQuote"">
<div class=""QuoteAuthor""><a rel=""nofollow"" href=""/en/profile/usercard/1007471201"">Coffee_addict22</a> wrote: <a rel=""nofollow"" href=""/en/discussion/10759456"" class=""QuoteLink"">»</a></div>
<div class=""QuoteText"">I’m so frustrated. I’ve tracked my calories(1200) for the last 3 weeks aside from a handful of meals I wasn’t able to count on. I walk/run everyday. I try to drink at least 90oz of water.<br>
<br>
I currently weigh 145 which is more than when I started tracking, I only weighed 140 then. I have calorie tracked several times in the past. Never got under 138.<br>
<br>
I’m a recovering anorexic. I was that way for 3 years. I think it damaged my body where it’s makes it impossible for me to lose weight. I’ve been eating normally for 5years. I’ve tried to get back down to 120ish for 4 years now. I did have a baby in there though.<br>
<br>
Please don’t tell me I don’t need to lose weight. I know how I used to weigh!!! I honestly need help from someone to help me figure out why I can’t lose weight or even just inches. Someone has to have gone through something like this.</div>
</blockquote>
<br>
For me I started losing again when I added in 150 more calories. I too eat 1200 (because I use a wheelchair I am the very definition of ""sedentary"" and I'm short). When I added in those calories my 6 month plateau broke and I started losing again </div>"
